product_id,name,category,in_stock
1,Maggie,Noodles,320
2,Colgate,Toothpaste,150
3,Dettol,Handwash,200
4,Surf Excel,Detergent,180
5,Lays,Snacks,400
6,Amul Butter,Dairy,90
7,Kissan Jam,Spread,60
8,Harpic,Toilet Cleaner,75
9,Pepsodent,Toothpaste,130
10,Santoor,Soap,210
11,Parle-G,Biscuits,350
12,Red Label,Tea,120
13,Bournvita,Health Drink,85
14,Nivea Lotion,Skincare,50
15,Good Day,Biscuits,270
16,Clinic Plus,Shampoo,95
17,Head & Shoulders,Shampoo,110
18,Dove Soap,Soap,140
19,Sunfeast Pasta,Ready-to-eat,60
20,Britannia Cake,Snacks,80
