sale_id,product_id,sale_date,units_sold
1,1,2023-07-01,42
2,2,2023-07-01,19
3,3,2023-07-01,24
4,4,2023-07-01,48
5,5,2023-07-01,34
6,6,2023-07-01,36
7,7,2023-07-01,39
8,8,2023-07-01,14
9,9,2023-07-01,29
10,10,2023-07-01,10
11,11,2023-07-01,50
12,12,2023-07-01,14
13,13,2023-07-01,31
14,14,2023-07-01,27
15,15,2023-07-01,50
16,16,2023-07-01,44
17,17,2023-07-01,17
18,18,2023-07-01,42
19,19,2023-07-01,31
20,20,2023-07-01,47
21,1,2023-07-02,49
22,2,2023-07-02,41
23,3,2023-07-02,20
24,4,2023-07-02,21
25,5,2023-07-02,14
26,6,2023-07-02,39
27,7,2023-07-02,11
28,8,2023-07-02,19
29,9,2023-07-02,13
30,10,2023-07-02,21
31,11,2023-07-02,36
32,12,2023-07-02,45
33,13,2023-07-02,47
34,14,2023-07-02,21
35,15,2023-07-02,23
36,16,2023-07-02,12
37,17,2023-07-02,45
38,18,2023-07-02,49
39,19,2023-07-02,20
40,20,2023-07-02,25
41,1,2023-07-03,11
42,2,2023-07-03,37
43,3,2023-07-03,12
44,4,2023-07-03,38
45,5,2023-07-03,34
46,6,2023-07-03,22
47,7,2023-07-03,17
48,8,2023-07-03,28
49,9,2023-07-03,35
50,10,2023-07-03,30
51,11,2023-07-03,43
52,12,2023-07-03,19
53,13,2023-07-03,44
54,14,2023-07-03,32
55,15,2023-07-03,19
56,16,2023-07-03,35
57,17,2023-07-03,21
58,18,2023-07-03,12
59,19,2023-07-03,12
60,20,2023-07-03,38
61,1,2023-07-04,48
62,2,2023-07-04,43
63,3,2023-07-04,28
64,4,2023-07-04,43
65,5,2023-07-04,42
66,6,2023-07-04,35
67,7,2023-07-04,44
68,8,2023-07-04,21
69,9,2023-07-04,47
70,10,2023-07-04,44
71,11,2023-07-04,47
72,12,2023-07-04,21
73,13,2023-07-04,30
74,14,2023-07-04,27
75,15,2023-07-04,35
76,16,2023-07-04,28
77,17,2023-07-04,13
78,18,2023-07-04,46
79,19,2023-07-04,21
80,20,2023-07-04,22
81,1,2023-07-05,46
82,2,2023-07-05,13
83,3,2023-07-05,16
84,4,2023-07-05,37
85,5,2023-07-05,29
86,6,2023-07-05,43
87,7,2023-07-05,49
88,8,2023-07-05,21
89,9,2023-07-05,42
90,10,2023-07-05,20
91,11,2023-07-05,40
92,12,2023-07-05,40
93,13,2023-07-05,34
94,14,2023-07-05,27
95,15,2023-07-05,37
96,16,2023-07-05,25
97,17,2023-07-05,48
98,18,2023-07-05,44
99,19,2023-07-05,15
100,20,2023-07-05,31
101,1,2023-07-06,47
102,2,2023-07-06,10
